animal_id,outcome_age_(years),has_name,is_adopted,sex_male,spay_neuter,cfa_approved,season_Fall,season_Spring,season_Summer,season_Winter,is_weekend,time_of_day_Afternoon,time_of_day_Closed,time_of_day_Morning,is_shorthair,is_solid_pattern,color_black,color_other,color_white
A683657,0.1643835616438356,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A668746,2.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A687017,0.3287671232876712,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A675462,1.0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
A668328,0.2465753424657534,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
A671160,1.0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A665084,0.5753424657534246,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689634,0.3287671232876712,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
A688598,0.0575342465753424,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
A680868,2.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
A679031,0.1643835616438356,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
A665666,1.0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A684011,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A680380,0.0821917808219178,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A685282,0.0191780821917808,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A684441,1.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A681828,0.0575342465753424,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
A688627,0.0383561643835616,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A686974,0.1643835616438356,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
A686736,0.410958904109589,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A690326,15.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A692370,3.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A686063,2.0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0
A683415,0.1643835616438356,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A680129,0.1643835616438356,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
A688995,0.410958904109589,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
A650349,6.0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A668323,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A674755,0.0164383561643835,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A662943,0.5753424657534246,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0
A679310,0.0821917808219178,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
A680242,2.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A682044,0.1643835616438356,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A667357,2.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A679451,0.0575342465753424,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A681101,1.0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A688553,0.0821917808219178,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
A683200,0.2465753424657534,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A678051,0.0575342465753424,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
A676804,0.1643835616438356,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0
A691496,0.1643835616438356,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
A665893,1.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A691626,15.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A672194,0.3287671232876712,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A690804,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A671534,1.0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A667951,9.0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
A676084,0.821917808219178,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A665425,0.2465753424657534,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0
A685559,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A678202,0.1643835616438356,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A688967,0.3287671232876712,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
A679723,0.1643835616438356,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A671938,2.0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A678385,0.0383561643835616,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A687458,0.1643835616438356,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A693770,0.2465753424657534,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A678867,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0
A685652,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
A685062,0.1643835616438356,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A690811,0.1643835616438356,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A676948,0.6575342465753424,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A665896,0.1643835616438356,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
A665256,1.0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A683328,0.1643835616438356,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
A668560,0.3287671232876712,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
A690327,14.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A682828,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A683418,9.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
